word,pos,level
bookstore,n,A1
coke,n,A1
hers,pron,A1
mrs.,n,A1
olympics,n,A1
tv,n,A1
yours,pron,A1
annoying,adj,A2
boiled,adj,A2
climbing,n,A2
disappointing,adj,A2
embarrassing,adj,A2
frightened,adj,A2
granddad,n,A2
half-price,adj,A2
heating,n,A2
importantly,adv,A2
invent,v,A2
learner,n,A2
lunchtime,n,A2
melon,n,A2
omelette,n,A2
pear,n,A2
playful,adj,A2
policewoman,n,A2
pronunciation,n,A2
rumour,n,A2
schoolchild,n,A2
shampoo,n,A2
sleepy,adj,A2
spaceship,n,A2
superlative,n,A2
theirs,pron,A2
traveller,n,A2
well-known,adj,A2
accustom,v,B1
adverb,n,B1
aerobics,n,B1
amusing,adj,B1
annoyed,adj,B1
applaud,v,B1
babysitter,n,B1
bedside,n,B1
brand-new,adj,B1
brightly,adv,B1
caller,n,B1
carelessly,adv,B1
categorize,v,B1
chariot,n,B1
cod,n,B1
confusing,adj,B1
counseling,n,B1
curiously,adv,B1
daze,n,B1
democratic,adj,B1
disagreement,n,B1
disturbance,n,B1
earache,n,B1
encouraging,adj,B1
enthusiast,n,B1
examiner,n,B1
eyesight,n,B1
farmland,n,B1
festive,adj,B1
firework,n,B1
freely,adv,B1
frustrated,adj,B1
furthest,adv,B1
gee,interj,B1
golfer,n,B1
hairdryer,n,B1
handwriting,n,B1
hearty,adj,B1
housework,n,B1
illegally,adv,B1
impair,v,B1
infinitive,n,B1
initially,adv,B1
inscription,n,B1
involuntarily,adv,B1
jumper,n,B1
lawful,adj,B1
likeness,n,B1
magician,n,B1
middle-aged,adj,B1
misunderstanding,n,B1
motivate,v,B1
narrate,v,B1
next-door,adj,B1
northeastern,adj,B1
oneself,pron,B1
outlaw,n,B1
overwhelming,adj,B1
participle,n,B1
photocopy,n,B1
poisonous,adj,B1
postman,n,B1
pronoun,n,B1
quake,n,B1
reclaim,v,B1
remembrance,n,B1
reunification,n,B1
