word,pos,level
a.m.,adv,A1
bookstore,n,A1
bye,n,A1
café,n,A1
cd,n,A1
coke,n,A1
dancing,n,A1
dr.,n,A1
hamburger,n,A1
hers,pron,A1
interviewer,n,A1
lovely,adj,A1
mr.,n,A1
mrs.,n,A1
mum,n,A1
o'clock,adv,A1
okay,adj,A1
olympics,n,A1
ours,pron,A1
p.m.,adv,A1
snowy,adj,A1
tv,n,A1
waiter,n,A1
waitress,n,A1
worker,n,A1
yours,pron,A1
adjective,n,A2
amused,adj,A2
angrily,adv,A2
annoying,adj,A2
armed,adj,A2
badly,adv,A2
beginner,n,A2
boiled,adj,A2
bookshop,n,A2
businesswoman,n,A2
camping,n,A2
climbing,n,A2
confuse,v,A2
cooker,n,A2
cooler,n,A2
disappointing,adj,A2
dressed,adj,A2
drugstore,n,A2
elderly,adj,A2
embarrassing,adj,A2
fascinating,adj,A2
footballer,n,A2
frighten,v,A2
frightened,adj,A2
frightening,adj,A2
good-looking,adj,A2
grace,n,A2
granddad,n,A2
granny,n,A2
greatly,adv,A2
guidebook,n,A2
half-price,adj,A2
handicapped,adj,A2
hardly,adv,A2
headteacher,n,A2
heating,n,A2
hiking,n,A2
hip-hop,n,A2
ill,adj,A2
importantly,adv,A2
inexpensive,adj,A2
injure,v,A2
inner,adj,A2
invent,v,A2
killer,n,A2
kilo,n,A2
laziness,n,A2
learner,n,A2
left-hand,adj,A2
lemonade,n,A2
lip,n,A2
lunchtime,n,A2
make-up,n,A2
mark,n,A2
marvelous,adj,A2
melon,n,A2
ms.,n,A2
mug,n,A2
noun,n,A2
omelette,n,A2
pal,n,A2
partly,adv,A2
pea,n,A2
pear,n,A2
pence,n,A2
penfriend,n,A2
perfectly,adv,A2
playful,adj,A2
pleased,adj,A2
pleasing,adj,A2
plural,n,A2
policewoman,n,A2
pollute,v,A2
progressive,adj,A2
pronounce,v,A2
pronunciation,n,A2
regularly,adv,A2
right-hand,adj,A2
rob,v,A2
rumour,n,A2
sailing,n,A2
sandy,adj,A2
scenery,n,A2
schoolchild,n,A2
schoolwork,n,A2
seaside,n,A2
sew,v,A2
shampoo,n,A2
singing,n,A2
skateboarding,n,A2
sleepless,adj,A2
sleepy,adj,A2
slowly,adv,A2
snowboarding,n,A2
softly,adv,A2
spaceship,n,A2
spaghetti,n,A2
stair,n,A2
stomachache,n,A2
superlative,n,A2
surname,n,A2
surprising,adj,A2
terrify,v,A2
theirs,pron,A2
tidy,adj,A2
timetable,n,A2
toothbrush,n,A2
traveller,n,A2
unforgettable,adj,A2
unimportant,adj,A2
washing-up,n,A2
well-known,adj,A2
aborigine,n,B1
accessory,n,B1
accurately,adv,B1
accustom,v,B1
acknowledgment,n,B1
ad,n,B1
addressee,n,B1
adverb,n,B1
adverbial,adj,B1
advert,n,B1
adviser,n,B1
aerobics,n,B1
afterwards,adv,B1
aloud,adv,B1
amazed,adj,B1
amusing,adj,B1
analyse,v,B1
animated,adj,B1
annoyance,n,B1
annoyed,adj,B1
antonym,n,B1
anxiously,adv,B1
anyhow,adv,B1
applaud,v,B1
aspirin,n,B1
astronomer,n,B1
babysit,v,B1
babysitter,n,B1
backache,n,B1
barman,n,B1
beautifully,adv,B1
bedside,n,B1
bilingual,adj,B1
biochemistry,n,B1
brainstorming,n,B1
brand-new,adj,B1
bravely,adv,B1
breathless,adj,B1
breeding,n,B1
brightly,adv,B1
burglar,n,B1
burning,adj,B1
calculator,n,B1
caller,n,B1
calmness,n,B1
canned,adj,B1
canteen,n,B1
carelessly,adv,B1
carelessness,n,B1
carton,n,B1
cashpoint,n,B1
categorize,v,B1
cd-rom,n,B1
challenging,adj,B1
characterize,v,B1
chariot,n,B1
cherish,v,B1
climber,n,B1
closely,adv,B1
cod,n,B1
columnist,n,B1
comma,n,B1
complicated,adj,B1
confusing,adj,B1
conservative,adj,B1
consonant,n,B1
continual,adj,B1
counseling,n,B1
courgette,n,B1
crossroads,n,B1
cultivate,v,B1
curiously,adv,B1
curly,adj,B1
damaged,adj,B1
dangerously,adv,B1
daze,n,B1
deadly,adj,B1
deficiency,n,B1
delighted,adj,B1
democratic,adj,B1
depressed,adj,B1
depressing,adj,B1
devastating,adj,B1
disagreement,n,B1
disappoint,v,B1
disastrous,adj,B1
discomfort,n,B1
disturbance,n,B1
diver,n,B1
dude,n,B1
dusty,adj,B1
earache,n,B1
earnest,adj,B1
easy-going,adj,B1
emotionally,adv,B1
encouraging,adj,B1
engaged,adj,B1
enquiry,n,B1
entertainer,n,B1
enthusiast,n,B1
entirely,adv,B1
environmentalist,n,B1
evenly,adv,B1
examiner,n,B1
excitedly,adv,B1
exhausted,adj,B1
extinct,adj,B1
eyesight,n,B1
face-to-face,adj,B1
faraway,adj,B1
farming,n,B1
farmland,n,B1
farthest,adv,B1
fashionable,adj,B1
favourable,adj,B1
festive,adj,B1
feverishly,adv,B1
filling,n,B1
film-maker,n,B1
firework,n,B1
first-floor,adj,B1
flunk,v,B1
fragment,n,B1
freely,adv,B1
freezing,adj,B1
friendliness,n,B1
fright,n,B1
frustrated,adj,B1
full-time,adj,B1
fur,n,B1
furnish,v,B1
furthest,adv,B1
fuss,n,B1
gall,n,B1
gardening,n,B1
gee,interj,B1
genetically,adv,B1
gifted,adj,B1
glide,n,B1
golfer,n,B1
govern,v,B1
greeting,n,B1
grouping,n,B1
hairdryer,n,B1
hand-held,adj,B1
handball,n,B1
handshake,n,B1
handwriting,n,B1
hard-working,adj,B1
hardship,n,B1
hearted,adj,B1
hearty,adj,B1
heavenly,adj,B1
honeymoon,n,B1
horrify,v,B1
housework,n,B1
hunger,n,B1
hurriedly,adv,B1
idiom,n,B1
illegally,adv,B1
illuminate,v,B1
imitate,v,B1
immigrate,v,B1
impair,v,B1
improper,adj,B1
inconvenient,adj,B1
indoors,adv,B1
infinitive,n,B1
informative,adj,B1
inhabitant,n,B1
inhale,v,B1
initially,adv,B1
innermost,adj,B1
innovator,n,B1
inscribe,v,B1
inscription,n,B1
intermission,n,B1
internationally,adv,B1
interviewee,n,B1
involuntarily,adv,B1
ironing,n,B1
jewel,n,B1
jogging,n,B1
jumper,n,B1
lasting,adj,B1
latecomer,n,B1
lately,adv,B1
lawful,adj,B1
lessen,v,B1
lifeguard,n,B1
lighter,n,B1
likeness,n,B1
loaf,n,B1
lorry,n,B1
lovingly,adv,B1
magician,n,B1
mathematician,n,B1
memorize,v,B1
mentally,adv,B1
middle-aged,adj,B1
mischief,n,B1
mislead,v,B1
misty,adj,B1
misunderstanding,n,B1
modal,n,B1
motherland,n,B1
motionless,adj,B1
motivate,v,B1
mountaintop,n,B1
murderer,n,B1
nap,n,B1
narrate,v,B1
nationalist,n,B1
newcomer,n,B1
newly,adv,B1
next-door,adj,B1
nightlife,n,B1
noisily,adv,B1
normally,adv,B1
northeastern,adj,B1
northwest,adj,B1
noticeboard,n,B1
old-fashioned,adj,B1
oneself,pron,B1
onstage,adj,B1
out-of-date,adj,B1
outer,adj,B1
outlaw,n,B1
outward,adj,B1
outweigh,v,B1
overjoyed,adj,B1
overwhelming,adj,B1
overwork,n,B1
packing,n,B1
part-time,adj,B1
participle,n,B1
penniless,adj,B1
persuasive,adj,B1
phoenix,n,B1
photocopy,n,B1
pie,n,B1
piety,n,B1
pleasantly,adv,B1
poisonous,adj,B1
politician,n,B1
possessive,adj,B1
postcard,n,B1
postman,n,B1
prefix,n,B1
preposition,n,B1
procrastination,n,B1
pronoun,n,B1
proverb,n,B1
pullover,n,B1
purify,v,B1
quake,n,B1
questionnaire,n,B1
raspberry,n,B1
rearrange,v,B1
reclaim,v,B1
recycled,adj,B1
refreshments,n,B1
relaxing,adj,B1
remembrance,n,B1
repay,v,B1
reproduce,v,B1
retell,v,B1
reunification,n,B1
reunify,v,B1
rewrite,v,B1
roadside,n,B1
