word,pos_tag,level
a,JJ,1
a,DT,1
a,IN,1
a,NN,1
a,VB,1
abandon,NNP,3
abandon,VB,3
abbey,JJ,6
abbey,NNP,4.85979654784021
abbey,IN,6
abbey,VB,6
abdomen,NNP,4.46829094348128
abdomen,IN,6
abdomen,RB,6
abdomen,VB,6
ability,NN,2
able,JJ,3
abnormal,JJ,3
aboard,IN,3
aboard,RB,3
aboard,RP,3
abolish,VB,4
aboriginal,JJ,4
aboriginal,NN,4
about,IN,1
about,RB,1
about,RP,1
about,NN,1
about,VB,1
above,IN,1
above,JJ,3
above,NN,1.66666666666667
above,RB,1
abrasive,NN,6
abrasive,JJ,6
abrasive,RB,6
abrasive,VB,6
abroad,RB,2
absence,NN,3
absent,JJ,3
absent,VB,3
absolute,NN,3
absolute,JJ,3
absolutely,RB,3
absorb,VB,3
abstract,NN,3
abstract,JJ,3
absurd,JJ,4
abundance,NN,3
abundant,JJ,3
abuse,VB,4
abuse,NN,4
abusive,NN,6
abusive,JJ,6
abusive,VB,6
abusive,CD,6
academic,NNP,3
academic,JJ,3
academy,NN,3
acc,JJ,6
acc,VB,6
acc,NN,6
acc,IN,6
accelerate,VB,5.44140000723434
acceleration,NN,4.03920760098061
accelerator,NN,5.73690724824174
accelerator,JJ,6
accelerator,VB,6
accent,NN,3
accept,VB,2
acceptable,JJ,2
acceptance,NN,3
accepted,VBN,2
accepted,JJ,2
accepted,NN,2
access,NN,3
access,VB,4
access,JJ,3.5
accessible,JJ,3
accessories,NNS,3
accident,NN,2
accidental,JJ,3
accidental,NN,3
accidentally,NN,3
accidentally,RB,3
accommodate,VB,3.95077444651101
accommodation,NN,4
accommodation,VB,4
accommodation,JJ,4
accompany,VB,3
accomplish,VB,3
accomplishment,NN,3
accord,NN,4.03569119709718
accord,VB,6
accordance,NN,1.92009287269446
according,NN,3.81926920395562
according,VBG,3.81926920395562
accordion,NN,3.81926920395562
accordion,JJ,3.81926920395562
account,NN,2
account,VB,3
account,JJ,2.5
accountability,NN,2.5
accountable,NN,2.5
accountable,JJ,2.5
accountable,VB,2.5
accountant,NN,3
accounting,NN,2.5
accounting,JJ,2.5
accounting,VB,2.5
accounts,NNS,2.5
accounts,VB,2.5
accredited,JJ,6
accredited,VBN,6
accredited,NN,6
accumulate,VB,4
accumulate,NN,4
accumulate,JJ,4
accumulate,RB,4
accuracy,NN,3
accurate,JJ,3
accuse,VB,3
ache,NN,3
ache,JJ,3.5
ache,IN,3.5
ache,DT,3.5
ache,VB,4
achieve,VB,2
achievement,NN,3
acid,NN,4
acid,JJ,4
acknowledge,VB,3
acoustic,NN,6
acoustic,JJ,4.85535915767038
acoustic,VB,6
acquaint,VB,6
acquaint,NN,6
acquaint,JJ,6
acquaintance,NN,3
acquaintance,VB,3
acquaintance,JJ,3
acquire,VB,3
acquire,NNP,3
acquisition,NN,4
acquisition,JJ,4
acre,JJ,4.73439149104664
acre,NN,3.2139680329495
across,JJ,2
across,RB,2
across,IN,2
across,RP,2
across,NN,2
act,NN,2
act,VB,3
action,NN,1
action,JJ,1
actions,NNS,1
activate,VB,2.5
activate,JJ,2.5
activate,NN,2.5
activate,RB,2.5
activation,NN,2.5
activation,JJ,2.5
activation,VB,2.5
active,JJ,3
active,NN,3
actively,RB,4
activism,NN,2.5
activities,NNS,1
activity,NN,1
actor,NN,1
actress,NN,3
acts,VB,2.5
acts,NNS,2.5
actual,JJ,4
actually,RB,2
actuary,JJ,6
actuary,NN,6
actuary,RP,6
actuator,NN,6
actuator,JJ,6
actuator,VB,6
acupuncture,NN,6
acupuncture,JJ,6
acute,JJ,4
adapt,VB,3
adaptability,NN,3
adaptability,JJ,3
adaptable,JJ,4
adaptable,NN,4
adaptation,NN,3.70794208089599
adapter,NN,3
adapter,VB,3
adapter,JJ,3
add,VB,1
add,JJ,1
added,VBN,1
added,NN,1
added,JJ,1
addict,NN,4
addict,VB,4
addict,JJ,4
addiction,NN,4
addiction,JJ,4
adding,VBG,1
addition,NN,2
additional,JJ,2
address,NN,1
address,VB,3
address,JJ,2
addresses,VB,2
addresses,NNS,2
adequate,JJ,4
adequately,RB,4
adjacent,JJ,2.75994354613594
adjust,VB,2
adjustment,NN,4
admin,NN,5.63011607978361
admin,IN,6
admin,RB,6
admin,VB,6
admin,JJ,6
administer,VB,4.49180105979549
administer,NN,6
administer,JJ,6
administer,IN,6
administer,RB,6
administration,NN,3
administration,JJ,3
administrative,JJ,4
administrator,NN,2.58761917904201
